layer,coeff,n,sqs_mean,sqs_median,retention_mean,sent_div_mean,line_rep_mean,trigram_rep_mean,spam_rate,delta_academic_mean,rank_key
8,9,5,3.7121499988054674,3.2489123758731324,0.28372385505360526,0.925448717948718,0.10138888888888889,0.2116208665177223,0.0,22.85141015928,3.7121499988054674
22,3,5,3.605836652774812,3.5994339622641514,0.7785754104080036,1.0,0.0,0.08535599829078089,0.0,1.3989343434200001,3.605836652774812
26,9,5,3.46325391938407,3.534328248393584,0.6766494865774659,0.9846153846153847,0.0,0.08667659938941755,0.0,1.41277389278,3.46325391938407
26,6,5,3.4538486082725206,3.3117538303887804,0.7073196232072643,1.0,0.0,0.08739750753766495,0.0,-0.4720454545399999,3.4538486082725206
26,12,5,3.452376021824931,3.3132486388384756,0.6601782504973929,1.0,0.0,0.09795500440622158,0.0,-0.19532167831999997,3.452376021824931
26,3,5,3.443698276242128,3.5539927404718696,0.7783953872120544,1.0,0.0,0.07714233890271574,0.0,-0.3939873737399998,3.443698276242128
4,3,5,3.429486464804293,3.1513089609041636,0.6366073755575042,1.0,0.0,0.09951985999685384,0.0,2.84101981352,3.429486464804293
8,3,5,3.3329234666272773,3.3078448909580986,0.6700288534977794,0.97,0.0,0.08256768797965242,0.0,-0.1794848484800003,3.3329234666272773
18,3,5,3.291949218889376,3.4435991820040903,0.6967928865755801,1.0,0.0,0.08425378289217814,0.0,0.33966666666000006,3.291949218889376
12,3,5,3.209923917014013,3.390160901671201,0.6102847067032522,0.9875,0.0,0.06785306611700277,0.0,0.24328642192000002,3.209923917014013
22,6,5,3.1893025020649794,3.110721693396052,0.7237454668891969,0.9857142857142858,0.0,0.082334149320857,0.0,-0.18584415584,3.1893025020649794
22,9,5,3.1701411735501543,3.107372661475592,0.658830509273665,0.9846153846153847,0.0,0.09422861334893935,0.0,-0.53647552446,3.1701411735501543
15,3,5,3.146214906547987,3.1313089403318886,0.7153232628968534,0.9846153846153847,0.0,0.0670890968072333,0.0,-0.55593706292,3.146214906547987
18,6,5,3.1144443062930094,3.2505444646098,0.5897487482673757,0.9818181818181818,0.0,0.06414288018061605,0.0,-0.9821340326399998,3.1144443062930094
8,6,5,3.0462569977268004,2.9305977155374747,0.46211931769964076,0.9438095238095239,0.0,0.09120524430227979,0.0,4.6423093573,3.0462569977268004
15,6,5,3.0264835559601364,3.0074663835810336,0.4580041300104664,0.9523809523809523,0.0,0.05478586027499073,0.0,3.9257167832199995,3.0264835559601364
22,12,5,2.96842977876001,2.8511508471313056,0.6046166727956777,0.9536630036630036,0.0,0.08993592425208388,0.0,0.57373459872,2.96842977876001
18,9,5,2.949759962021749,2.960769745935394,0.5365933259785202,0.9536630036630036,0.0,0.06183588021793187,0.0,1.3210467310399998,2.949759962021749
18,12,5,2.947996040291458,3.006805743469729,0.45856843276474973,0.97,0.0,0.055402396088586395,0.0,3.1235757575800003,2.947996040291458
12,6,5,2.8338646645080656,2.864494599833841,0.40934246084504916,1.0,0.0,0.04475570861639968,0.0,-0.9907828282800002,2.8338646645080656
4,6,5,2.662497071688628,3.0650101419878304,0.4794912920898041,1.0,0.0,0.09352222852331116,0.0,1.2932424242399998,2.662497071688628
15,9,5,2.4564514431077265,2.359320383575117,0.3090051577984593,0.9492063492063492,0.0,0.05530645846798461,0.0,0.05809523809999959,2.4564514431077265
4,12,5,2.502103706350734,2.7631607246256933,0.17051046175025694,0.9192307692307692,0.12994652406417112,0.3547633140149449,0.2,9.984306526800001,2.2021037063507336
12,9,5,1.9076200494192588,1.9980318694131367,0.17505271892355706,0.9818181818181818,0.0,0.14644509437585757,0.0,-5.080461038959999,1.9076200494192588
8,12,5,3.2542492505001333,3.5046717817561808,0.11851757140297776,1.0,0.7972839288857595,0.4467511310813933,1.0,69.68590909091999,1.7542492505001333
4,9,5,1.9527627305846178,1.9928571428571433,0.2995371936673173,0.9777777777777779,0.047222222222222235,0.28451117778346935,0.2,-6.3698845599,1.6527627305846178
15,12,5,1.8832540458656197,1.878975958612295,0.12063851093321265,0.9272727272727274,0.14444444444444443,0.2025999456364113,0.2,11.059797979819999,1.5832540458656197
12,12,5,0.5317009865738508,0.8288858290304074,0.055581624282198525,0.6477777777777778,0.03076923076923077,0.47855977752799994,0.6,-6.3368131313200005,-0.3682990134261491
